CODIGO_SCIAN,ANIO,H010B,H010C,I100B,I100C,H010D,I100D,J000A,O110A,M710B,M710C,M999A,M310B,M310C,K316B,K316C,K910A,K411A,K951A,K412A,K961A,K610A,K810A,K710A,K500A,K931A,K999A,Q100A,Q200A,Q300A,Q400A,Q900A,Q000B,Q000C,Q000D,ESTATUS
31-33,2013,1636152,876381,488646,226102,5999117,1712020,382034793,5550660679,45486736,337312475,92563074,3842469439,1692490439,2301150730,933346675,144135084,74715282,73658274,92510268,82292288,146895187,25346032,37399135,43062963,21201673,193318397,1542585498,488831655,56331291,30915461,75299611,136984344,138296850,29677331,Cifras definitivas
311,2013,318058,169923,73524,34315,1279049,270150,48965547,849314272,5261365,4249801,14114918,787170081,59861307,376626315,53326898,43724229,13223363,11156573,9767440,12173574,20165085,5516024,2612519,6768983,1170448,19413538,163112272,69622013,16313182,3952864,6561955,16891262,14760853,1495687,Cifras definitivas
3111,2013,3261,1281,4982,1026,10760,14986,560689,64558515,337709,0,417440,63730433,888018,43045182,6471371,522521,441334,410991,443397,557995,1356585,32549,60546,112510,47115,667870,5195494,3395165,847633,179211,339374,580308,663336,115644,Cifras definitivas
311110,2013,3261,1281,4982,1026,10760,14986,560689,64558515,337709,0,417440,63730433,888018,43045182,6471371,522521,441334,410991,443397,557995,1356585,32549,60546,112510,47115,667870,5195494,3395165,847633,179211,339374,580308,663336,115644,Cifras definitivas
3112,2013,14654,2079,9501,2285,42879,30701,3584018,146179843,771928,0,2158730,141071054,4131933,71061126,27250122,5091449,2059309,1259520,2111055,3081600,2949921,397827,449444,503018,210809,2343345,26597057,9247902,1458790,624514,465902,2397288,2281074,289524,Cifras definitivas
311211,2013,560,148,7,3,1720,28,80134,2240052,2621,0,15685,2225983,0,1360194,454934,46958,10684,16044,31096,78558,976,10996,0,6380,0,41662,156749,88497,40496,8093,9128,21758,8630,620,Cifras definitivas
311212,2013,4050,800,2411,360,12481,6983,795630,28395045,438781,0,925685,27553552,209697,17360973,2983866,419738,115488,211078,426744,722827,710196,56426,72313,56153,1879,503077,4137325,2609013,581798,261752,174748,544521,369324,36592,Cifras definitivas
311213,2013,3369,310,1562,306,9142,4935,711332,21667384,0,0,183554,21249792,475083,12626484,689423,542334,633192,151153,414723,444334,262076,235220,0,52074,176304,445926,3139485,1108657,152738,89659,101839,288909,338304,38905,Cifras definitivas
311215,2013,250,29,76,4,628,199,88416,3871967,0,0,4816,3860097,0,2111825,415611,0,104089,51898,100133,69902,34276,0,0,7506,0,82337,4179694,859531,11757,3404,8795,375454,233872,100577,Cifras definitivas
311221,2013,769,100,1302,124,2351,3567,314520,18536584,0,0,727008,18142423,414972,6644814,5339858,372203,470010,303767,352916,886435,408869,986,29983,58811,0,160248,4266649,941997,2713,41292,17903,360945,512321,15656,Cifras definitivas
311222,2013,5229,496,2347,426,15045,7426,1524464,59973356,330526,0,298322,57556798,1983070,27664031,16824036,2064483,633830,407242,640606,802273,657571,77494,339782,263704,32446,1001725,7272274,2521631,652889,147488,102829,512239,623900,77401,Cifras definitivas
311230,2013,427,196,1796,1062,1512,7563,69522,11495455,0,0,3660,10482409,1049111,3292805,542394,1645733,92016,118338,144837,77271,875957,16705,7366,58390,180,108370,3444881,1118576,16399,72826,50660,293462,194723,19773,Cifras definitivas
3113,2013,41267,14352,4697,4209,143208,20752,10446264,89108392,514338,2609330,1015854,77066020,12936078,39430495,2877661,4067212,1291780,2019902,802037,1376842,2025292,1055350,600696,761110,107659,2908473,49063425,12244346,708747,561345,781853,2792889,2785507,200593,Cifras definitivas
